Date,Total (house and land),House only,Land only
31-01-1981,38.2,36.1,40.6
28-02-1981,38.7,36.5,41
31-03-1981,39.3,37.3,41.1
30-04-1981,39.9,38.1,41.2
31-05-1981,40.6,38.9,41.5
30-06-1981,40.8,39.1,41.6
31-07-1981,40.8,39.2,41.6
31-08-1981,40.6,39,41.5
30-09-1981,40.4,39,40.9
31-10-1981,40.3,38.8,40.9
30-11-1981,40.2,38.8,40.4
31-12-1981,40.3,38.9,40.5
31-01-1982,40.3,39.1,40.5
28-02-1982,40.3,38.9,40.6
31-03-1982,40.1,38.6,40.7
30-04-1982,39.9,38.5,40.6
31-05-1982,39.6,38.1,40.1
30-06-1982,39.3,38.1,39.5
31-07-1982,39,38,38.5
31-08-1982,38.8,37.8,38.2
30-09-1982,38.4,37.6,37.5
31-10-1982,38.3,37.4,37.5
30-11-1982,38,37.3,37
31-12-1982,37.9,37.2,37
31-01-1983,37.9,37.3,36.8
28-02-1983,37.9,37.2,36.8
31-03-1983,37.8,37.2,37
30-04-1983,37.8,37,37.2
31-05-1983,37.7,36.9,37.2
30-06-1983,37.8,37,37.4
31-07-1983,37.8,37,37.4
31-08-1983,38,37.2,37.2
30-09-1983,38,37.2,37.3
31-10-1983,37.9,37.2,37.2
30-11-1983,38,37.3,37.4
31-12-1983,37.9,37.2,37.2
31-01-1984,38,37.2,37.3
29-02-1984,38,37.4,37.3
31-03-1984,38.1,37.5,37.3
30-04-1984,38.2,37.6,37.4
31-05-1984,38.2,37.6,37.4
30-06-1984,38.1,37.4,37.4
31-07-1984,38.1,37.4,37.4
31-08-1984,38,37.3,37.4
30-09-1984,37.9,37.2,37.3
31-10-1984,37.9,37.2,37.2
30-11-1984,37.8,37.2,37
31-12-1984,37.9,37.3,37
31-01-1985,38,37.4,37.1
28-02-1985,38,37.4,37.2
31-03-1985,38.1,37.5,37.3
30-04-1985,38.1,37.5,37.3
31-05-1985,38.1,37.4,37.5
30-06-1985,38.3,37.6,37.8
31-07-1985,38.4,37.7,37.8
31-08-1985,38.5,38,38
30-09-1985,38.8,38.1,38.2
31-10-1985,38.9,38.4,38.2
30-11-1985,39.2,38.6,38.3
31-12-1985,39.3,38.7,38.4
31-01-1986,39.8,39.4,38.8
28-02-1986,40.3,39.9,39.2
31-03-1986,40.6,40.2,39.3
30-04-1986,40.8,40.6,39.3
31-05-1986,41.1,40.9,39.5
30-06-1986,41.3,41.2,39.7
31-07-1986,41.6,41.4,39.8
31-08-1986,42,41.9,40.1
30-09-1986,42.8,42.9,40.6
31-10-1986,43.2,43.4,40.6
30-11-1986,43.8,44.1,41
31-12-1986,44,44.4,41
31-01-1987,44.4,44.8,41.1
28-02-1987,45.2,45.9,41.3
31-03-1987,46.6,47.3,42.7
30-04-1987,47.1,48,43.1
31-05-1987,47.5,48.3,43.5
30-06-1987,47.7,48.6,43.6
31-07-1987,48,48.8,43.9
31-08-1987,48.2,49,44.2
30-09-1987,48.7,49.2,45.4
31-10-1987,48.9,49.3,45.6
30-11-1987,49.1,49.5,45.9
31-12-1987,49.1,49.5,46.1
31-01-1988,49.3,49.7,46.4
29-02-1988,49.8,50.1,46.9
31-03-1988,50.3,50.6,47.4
30-04-1988,51.2,51.5,48.3
31-05-1988,51.9,52.1,49.3
30-06-1988,52.3,52.4,50.3
31-07-1988,52.5,52.5,50.6
31-08-1988,53,53,50.9
30-09-1988,53.9,53.8,52.3
31-10-1988,54.3,54.1,52.8
30-11-1988,55,54.4,54.3
31-12-1988,55.8,54.6,56.2
31-01-1989,56.3,54.7,57.6
28-02-1989,57.7,55.6,60.3
31-03-1989,58.6,56.1,62.5
30-04-1989,59.1,56.4,63.4
31-05-1989,59.3,56.5,63.6
30-06-1989,59.6,56.9,64
31-07-1989,59.8,56.9,64.5
31-08-1989,59.8,56.9,64.7
30-09-1989,60.1,57.1,65.2
31-10-1989,60.4,57.4,65.5
30-11-1989,60.8,57.6,66.6
31-12-1989,61.1,57.9,67
31-01-1990,61.7,58.4,67.6
28-02-1990,61.8,58.4,68
31-03-1990,61.9,58.5,68.4
30-04-1990,61.8,58.3,68.5
31-05-1990,61.5,57.9,68.6
30-06-1990,60.8,56.8,68.3
31-07-1990,60.4,56.3,68.3
31-08-1990,59.8,55.7,67.6
30-09-1990,59,55,66.6
31-10-1990,58.6,54.3,66.5
30-11-1990,58,53.6,66.1
31-12-1990,57.8,53.4,66.1
31-01-1991,56.9,52.6,65.1
28-02-1991,55.8,51.7,63.6
31-03-1991,56,52,63.8
30-04-1991,55.8,51.7,63.9
31-05-1991,56.2,52.4,64
30-06-1991,56.2,52.4,64
31-07-1991,56.3,52.4,64.3
31-08-1991,56.2,52.3,64.2
30-09-1991,56.2,52.3,64.2
31-10-1991,56.2,52.4,64.1
30-11-1991,55.9,52.1,63.9
31-12-1991,55.9,52.1,64
31-01-1992,55.8,52,63.9
29-02-1992,55.8,51.8,64
31-03-1992,55.9,51.9,64.3
30-04-1992,56,52,64.7
31-05-1992,56,51.9,64.9
30-06-1992,56.2,52,65.1
31-07-1992,56.3,52,66
31-08-1992,56.3,51.9,65.9
30-09-1992,56.2,51.7,66
31-10-1992,56.3,51.7,66.4
30-11-1992,56.3,52,66.3
31-12-1992,56.3,51.9,66.4
31-01-1993,56.2,51.8,66.4
28-02-1993,56.4,52,66.6
31-03-1993,56.7,52.3,67
30-04-1993,57,52.6,67.2
31-05-1993,56.8,52.2,67.4
30-06-1993,56.9,52.4,67.6
31-07-1993,57,52.3,67.8
31-08-1993,57.1,52.5,67.8
30-09-1993,57.1,52.6,67.8
31-10-1993,57,52.5,67.7
30-11-1993,57,52.5,67.7
31-12-1993,56.9,52.4,67.7
31-01-1994,57,52.4,67.8
28-02-1994,56.9,52.4,67.6
31-03-1994,56.9,52.3,67.7
30-04-1994,56.9,52.4,67.7
31-05-1994,56.9,52.3,67.8
30-06-1994,57,52.4,67.8
31-07-1994,56.9,52.3,67.8
31-08-1994,57,52.4,67.8
30-09-1994,57,52.4,67.8
31-10-1994,56.9,52.4,67.8
30-11-1994,56.8,52.3,67.7
31-12-1994,56.8,52.3,67.6
31-01-1995,56.8,52.3,67.6
28-02-1995,56.7,52.2,67.4
31-03-1995,56.6,52.2,67.4
30-04-1995,56.5,52.1,67.4
31-05-1995,56.4,52,67.2
30-06-1995,56.3,51.8,67
31-07-1995,56.2,51.8,66.9
31-08-1995,56.2,51.8,67
30-09-1995,56.2,51.7,66.9
31-10-1995,55.9,51.4,66.6
30-11-1995,55.6,51.3,66.4
31-12-1995,55.7,51.3,66.4
31-01-1996,55.6,51.3,66.4
29-02-1996,55.4,51,66.4
31-03-1996,55.3,50.9,66.3
30-04-1996,55.1,50.6,66.3
31-05-1996,55,50.5,66.3
30-06-1996,55.1,50.6,66.3
31-07-1996,55,50.6,66.3
31-08-1996,55,50.6,66.2
30-09-1996,55,50.6,66.1
31-10-1996,55,50.6,66.1
30-11-1996,55.2,50.8,66.1
31-12-1996,55.2,50.8,66.2
31-01-1997,55.3,51,66.2
28-02-1997,55.4,51.1,66.3
31-03-1997,55.5,51.2,66.2
30-04-1997,55.5,51.3,66.1
31-05-1997,55.6,51.3,66.2
30-06-1997,55.6,51.4,66.3
31-07-1997,55.6,51.4,66.3
31-08-1997,55.6,51.4,66.3
30-09-1997,55.6,51.4,66.3
31-10-1997,55.6,51.4,66.3
30-11-1997,55.8,51.7,66.3
31-12-1997,55.9,51.8,66.4
31-01-1998,56,51.9,66.4
28-02-1998,56,52,66.4
31-03-1998,56,52,66.4
30-04-1998,56,52,66.4
31-05-1998,56.1,52.1,66.4
30-06-1998,56.2,52.2,66.5
31-07-1998,56.2,52.3,66.5
31-08-1998,56.2,52.2,66.6
30-09-1998,56.2,52.2,66.6
31-10-1998,56.2,52.3,66.4
30-11-1998,56.2,52.3,66.4
31-12-1998,56.3,52.3,66.6
31-01-1999,56.3,52.3,66.6
28-02-1999,56.3,52.4,66.6
31-03-1999,56.4,52.5,66.6
30-04-1999,56.4,52.6,66.6
31-05-1999,56.4,52.6,66.5
30-06-1999,56.4,52.7,66.6
31-07-1999,56.5,52.8,66.6
31-08-1999,56.7,53,66.6
30-09-1999,56.8,53.2,66.7
31-10-1999,56.9,53.3,66.8
30-11-1999,57.1,53.6,66.8
31-12-1999,57.2,53.7,66.8
31-01-2000,57.2,53.7,66.8
29-02-2000,57.4,54,66.8
31-03-2000,57.5,54.1,66.9
30-04-2000,57.6,54.2,66.9
31-05-2000,57.8,54.4,67
30-06-2000,57.8,54.4,67
31-07-2000,57.9,54.5,67.1
31-08-2000,58.1,54.7,67.2
30-09-2000,58.2,54.9,67.3
31-10-2000,58.3,55,67.4
30-11-2000,58.5,55.3,67.4
31-12-2000,58.6,55.3,67.4
31-01-2001,58.7,55.5,67.4
28-02-2001,58.8,55.7,67.5
31-03-2001,59,55.9,67.5
30-04-2001,59.2,56.1,67.6
31-05-2001,59.3,56.2,67.7
30-06-2001,59.5,56.5,67.8
31-07-2001,59.6,56.7,67.8
31-08-2001,59.7,56.8,67.8
30-09-2001,59.9,56.9,67.8
31-10-2001,59.9,57,67.9
30-11-2001,60.1,57.2,68
31-12-2001,60.2,57.3,67.9
31-01-2002,60.4,57.6,68
28-02-2002,60.8,58.1,68.1
31-03-2002,61,58.3,68.2
30-04-2002,61.4,58.9,68.3
31-05-2002,61.8,59.3,68.5
30-06-2002,61.9,59.5,68.5
31-07-2002,62,59.6,68.5
31-08-2002,62.3,59.9,68.7
30-09-2002,62.4,60.1,68.7
31-10-2002,62.7,60.6,68.8
30-11-2002,63.1,61.1,68.9
31-12-2002,63.3,61.2,69
31-01-2003,63.4,61.5,69.1
28-02-2003,63.8,62,69.1
31-03-2003,63.9,62,69.1
30-04-2003,64.1,62.3,69.2
31-05-2003,64.5,62.7,69.4
30-06-2003,64.7,62.9,69.5
31-07-2003,64.9,63.2,69.5
31-08-2003,65.2,63.6,69.7
30-09-2003,65.5,63.9,69.9
31-10-2003,65.8,64.3,70
30-11-2003,66.3,64.9,70
31-12-2003,66.5,65.1,70.1
