date,region,property_type,baseline,index_value
01-01-1981,Seven census metropolitan area composite,Office,"Index, 2002=100",58.4
01-01-1981,Seven census metropolitan area composite,Warehouse,"Index, 2002=100",53.3
01-01-1981,Seven census metropolitan area composite,Shopping centre,"Index, 2002=100",59.3
01-01-1981,Seven census metropolitan area composite,Light factory,"Index, 2002=100",50.1
01-01-1981,Seven census metropolitan area composite,School,"Index, 2002=100",56.1
01-01-1981,"Halifax, Nova Scotia",Office,"Index, 2002=100",66.6
01-01-1981,"Halifax, Nova Scotia",Office,"Index, 2002=100",71.8
01-01-1981,"Halifax, Nova Scotia",Office,"Index, 2002=100",77.2
01-01-1981,"Halifax, Nova Scotia",Office,"Index, 2002=100",50.4
01-01-1981,"Halifax, Nova Scotia",Office,"Index, 2002=100",49.7
01-01-1981,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.6
01-01-1981,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.1
01-01-1981,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",73.3
01-01-1981,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53
01-01-1981,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.3
01-01-1981,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",65.5
01-01-1981,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",64.5
01-01-1981,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",69.4
01-01-1981,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",59.4
01-01-1981,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",54.7
01-01-1981,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",61
01-01-1981,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",72.4
01-01-1981,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",68.4
01-01-1981,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.7
01-01-1981,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.3
01-01-1981,"Halifax, Nova Scotia",School,"Index, 2002=100",62.6
01-01-1981,"Halifax, Nova Scotia",School,"Index, 2002=100",74.6
01-01-1981,"Halifax, Nova Scotia",School,"Index, 2002=100",70.6
01-01-1981,"Halifax, Nova Scotia",School,"Index, 2002=100",49.8
01-01-1981,"Halifax, Nova Scotia",School,"Index, 2002=100",49.3
01-01-1981,"Montréal, Quebec",Office,"Index, 2002=100",53.9
01-01-1981,"Montréal, Quebec",Office,"Index, 2002=100",57.8
01-01-1981,"Montréal, Quebec",Office,"Index, 2002=100",54.5
