Date,Total (house and land),House only,Land only
1981-01-31,38.2,36.1,40.6
1981-04-30,39.3,37.3,41.1
1981-07-31,40.73333333,39.06666667,41.56666667
1981-10-31,40.43333333,38.93333333,41.1
1982-01-31,40.26666667,38.93333333,40.46666667
1982-04-30,40.1,38.66666667,40.63333333
1982-07-31,39.3,38.06666667,39.36666667
1982-10-31,38.5,37.6,37.73333333
1983-01-31,37.93333333,37.26666667,36.93333333
1983-04-30,37.83333333,37.13333333,37
1983-07-31,37.76666667,36.96666667,37.33333333
1983-10-31,37.96666667,37.2,37.23333333
1984-01-31,37.96666667,37.23333333,37.3
1984-04-30,38.1,37.5,37.33333333
1984-07-31,38.13333333,37.46666667,37.4
1984-10-31,37.93333333,37.23333333,37.3
1985-01-31,37.9,37.3,37.03333333
1985-04-30,38.06666667,37.46666667,37.26666667
1985-07-31,38.26666667,37.56666667,37.7
1985-10-31,38.73333333,38.16666667,38.13333333
1986-01-31,39.43333333,38.9,38.5
1986-04-30,40.56666667,40.23333333,39.26666667
1986-07-31,41.33333333,41.16666667,39.66666667
1986-10-31,42.66666667,42.73333333,40.43333333
1987-01-31,44.06666667,44.43333333,41.03333333
1987-04-30,46.3,47.06666667,42.36666667
1987-07-31,47.73333333,48.56666667,43.66666667
1987-10-31,48.6,49.16666667,45.06666667
1988-01-31,49.16666667,49.56666667,46.13333333
1988-04-30,50.43333333,50.73333333,47.53333333
1988-07-31,52.23333333,52.33333333,50.06666667
1988-10-31,53.73333333,53.63333333,52
1989-01-31,55.7,54.56666667,56.03333333
1989-04-30,58.46666667,56.03333333,62.06666667
1989-07-31,59.56666667,56.76666667,64.03333333
1989-10-31,60.1,57.13333333,65.13333333
1990-01-31,61.2,57.96666667,67.06666667
1990-04-30,61.83333333,58.4,68.3
1990-07-31,60.9,57,68.4
1990-10-31,59.13333333,55,66.9
1991-01-31,57.56666667,53.2,65.76666667
1991-04-30,55.86666667,51.8,63.76666667
1991-07-31,56.23333333,52.4,64.1
1991-10-31,56.2,52.33333333,64.16666667
1992-01-31,55.86666667,52.06666667,63.93333333
